Account General Rate Type,Account Is Active,Account Is Allocated Overhead,Account Is Balancesheet,Account Is GAAP,Account Key,Account Level 0 Name,Account Level 0 Number,Account Level 1 Name,Account Level 1 Number,Account Level 2 Name,Account Level 2 Number,Account Number,Account Type Name,Account Type Sequence,Amount USD,Learn More,Actual,Forecast,Variance,Variance %,Department Is Active,Department Key,Department Level 0 Name,Department Level 0 Number,Department Level 1 Name,Department Level 1 Number,Department Number,Number of Records,Path,Period Ending Date,Scenario,Sheet,Version
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$30,014,000.00",Explore Tableau for Finance Analytics,$0,"$30,014,000","$30,014,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,8/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$30,014,000.00",Explore Tableau for Finance Analytics,$0,"$30,014,000","$30,014,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,9/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$30,014,000.00",Explore Tableau for Finance Analytics,$0,"$30,014,000","$30,014,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,10/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$30,014,000.00",Explore Tableau for Finance Analytics,$0,"$30,014,000","$30,014,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,11/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$30,014,000.00",Explore Tableau for Finance Analytics,$0,"$30,014,000","$30,014,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,12/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,834,000.00",Explore Tableau for Finance Analytics,$0,"$1,834,000","$1,834,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,1/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,834,000.00",Explore Tableau for Finance Analytics,$0,"$1,834,000","$1,834,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,2/28/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,834,000.00",Explore Tableau for Finance Analytics,$0,"$1,834,000","$1,834,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,3/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,834,000.00",Explore Tableau for Finance Analytics,$0,"$1,834,000","$1,834,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,4/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,834,000.00",Explore Tableau for Finance Analytics,$0,"$1,834,000","$1,834,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,5/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,834,000.00",Explore Tableau for Finance Analytics,$0,"$1,834,000","$1,834,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,6/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,834,000.00",Explore Tableau for Finance Analytics,$0,"$1,834,000","$1,834,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,7/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,834,000.00",Explore Tableau for Finance Analytics,$0,"$1,834,000","$1,834,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,8/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,834,000.00",Explore Tableau for Finance Analytics,$0,"$1,834,000","$1,834,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,9/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,834,000.00",Explore Tableau for Finance Analytics,$0,"$1,834,000","$1,834,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,10/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,834,000.00",Explore Tableau for Finance Analytics,$0,"$1,834,000","$1,834,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,11/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,834,000.00",Explore Tableau for Finance Analytics,$0,"$1,834,000","$1,834,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,12/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,000.00",Explore Tableau for Finance Analytics,$0,"$11,000","$11,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,1/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,000.00",Explore Tableau for Finance Analytics,$0,"$11,000","$11,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,2/28/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,000.00",Explore Tableau for Finance Analytics,$0,"$11,000","$11,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,3/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,000.00",Explore Tableau for Finance Analytics,$0,"$11,000","$11,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,4/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,000.00",Explore Tableau for Finance Analytics,$0,"$11,000","$11,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,5/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,000.00",Explore Tableau for Finance Analytics,$0,"$11,000","$11,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,6/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,000.00",Explore Tableau for Finance Analytics,$0,"$11,000","$11,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,7/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,000.00",Explore Tableau for Finance Analytics,$0,"$11,000","$11,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,8/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,000.00",Explore Tableau for Finance Analytics,$0,"$11,000","$11,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,9/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,000.00",Explore Tableau for Finance Analytics,$0,"$11,000","$11,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,10/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,000.00",Explore Tableau for Finance Analytics,$0,"$11,000","$11,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,11/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,000.00",Explore Tableau for Finance Analytics,$0,"$11,000","$11,000",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,12/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($37,000.00)",Explore Tableau for Finance Analytics,$0,"($37,000)","($37,000)",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,1/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($37,000.00)",Explore Tableau for Finance Analytics,$0,"($37,000)","($37,000)",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,2/28/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($37,000.00)",Explore Tableau for Finance Analytics,$0,"($37,000)","($37,000)",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,3/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($37,000.00)",Explore Tableau for Finance Analytics,$0,"($37,000)","($37,000)",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,4/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($37,000.00)",Explore Tableau for Finance Analytics,$0,"($37,000)","($37,000)",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,5/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($37,000.00)",Explore Tableau for Finance Analytics,$0,"($37,000)","($37,000)",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,6/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($37,000.00)",Explore Tableau for Finance Analytics,$0,"($37,000)","($37,000)",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,7/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($37,000.00)",Explore Tableau for Finance Analytics,$0,"($37,000)","($37,000)",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,8/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($37,000.00)",Explore Tableau for Finance Analytics,$0,"($37,000)","($37,000)",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,9/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($37,000.00)",Explore Tableau for Finance Analytics,$0,"($37,000)","($37,000)",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,10/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($37,000.00)",Explore Tableau for Finance Analytics,$0,"($37,000)","($37,000)",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,11/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($37,000.00)",Explore Tableau for Finance Analytics,$0,"($37,000)","($37,000)",100.0%,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Budget.xlsx,12/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,4,Expense,30000,Salaries & Benefits,31000,Salaries & Benefits,31000,31000,Expense,3,"$5,463,000.00",Explore Tableau for Finance Analytics,$0,"$5,463,000","$5,463,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,1/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,4,Expense,30000,Salaries & Benefits,31000,Salaries & Benefits,31000,31000,Expense,3,"$5,401,000.00",Explore Tableau for Finance Analytics,$0,"$5,401,000","$5,401,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,2/28/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,4,Expense,30000,Salaries & Benefits,31000,Salaries & Benefits,31000,31000,Expense,3,"$7,803,000.00",Explore Tableau for Finance Analytics,$0,"$7,803,000","$7,803,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,3/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,4,Expense,30000,Salaries & Benefits,31000,Salaries & Benefits,31000,31000,Expense,3,"$6,075,000.00",Explore Tableau for Finance Analytics,$0,"$6,075,000","$6,075,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,4/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,4,Expense,30000,Salaries & Benefits,31000,Salaries & Benefits,31000,31000,Expense,3,"$7,581,000.00",Explore Tableau for Finance Analytics,$0,"$7,581,000","$7,581,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,5/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,4,Expense,30000,Salaries & Benefits,31000,Salaries & Benefits,31000,31000,Expense,3,"$9,977,000.00",Explore Tableau for Finance Analytics,$0,"$9,977,000","$9,977,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,6/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$187,000.00",Explore Tableau for Finance Analytics,$0,"$187,000","$187,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,1/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,10,Expense,30000,Office & Supplies,33000,Office & Supplies,33000,33000,Expense,3,"$62,000.00",Explore Tableau for Finance Analytics,$0,"$62,000","$62,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,1/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,11,Expense,30000,"Computer, Equip & Operations",34000,"Computer, Equip & Operations",34000,34000,Expense,3,"$19,000.00",Explore Tableau for Finance Analytics,$0,"$19,000","$19,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,1/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,12,Expense,30000,Travel & Entertainment,35000,Travel & Entertainment,35000,35000,Expense,3,"$818,000.00",Explore Tableau for Finance Analytics,$0,"$818,000","$818,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,1/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$5,000.00",Explore Tableau for Finance Analytics,$0,"$5,000","$5,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,1/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$6,000.00",Explore Tableau for Finance Analytics,$0,"$6,000","$6,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,1/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,15,Expense,30000,Insurance & Regulations,38000,Insurance & Regulations,38000,38000,Expense,3,"$1,000.00",Explore Tableau for Finance Analytics,$0,"$1,000","$1,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,1/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$173,000.00",Explore Tableau for Finance Analytics,$0,"$173,000","$173,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,2/28/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,10,Expense,30000,Office & Supplies,33000,Office & Supplies,33000,33000,Expense,3,"$6,000.00",Explore Tableau for Finance Analytics,$0,"$6,000","$6,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,2/28/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,11,Expense,30000,"Computer, Equip & Operations",34000,"Computer, Equip & Operations",34000,34000,Expense,3,"$89,000.00",Explore Tableau for Finance Analytics,$0,"$89,000","$89,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,2/28/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,12,Expense,30000,Travel & Entertainment,35000,Travel & Entertainment,35000,35000,Expense,3,"$703,000.00",Explore Tableau for Finance Analytics,$0,"$703,000","$703,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,2/28/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$3,000.00",Explore Tableau for Finance Analytics,$0,"$3,000","$3,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,2/28/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$8,000.00",Explore Tableau for Finance Analytics,$0,"$8,000","$8,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,2/28/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,15,Expense,30000,Insurance & Regulations,38000,Insurance & Regulations,38000,38000,Expense,3,"$2,000.00",Explore Tableau for Finance Analytics,$0,"$2,000","$2,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,2/28/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$112,000.00",Explore Tableau for Finance Analytics,$0,"$112,000","$112,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,3/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,10,Expense,30000,Office & Supplies,33000,Office & Supplies,33000,33000,Expense,3,"$62,000.00",Explore Tableau for Finance Analytics,$0,"$62,000","$62,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,3/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,11,Expense,30000,"Computer, Equip & Operations",34000,"Computer, Equip & Operations",34000,34000,Expense,3,"$3,000.00",Explore Tableau for Finance Analytics,$0,"$3,000","$3,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,3/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,12,Expense,30000,Travel & Entertainment,35000,Travel & Entertainment,35000,35000,Expense,3,"$830,000.00",Explore Tableau for Finance Analytics,$0,"$830,000","$830,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,3/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$3,000.00",Explore Tableau for Finance Analytics,$0,"$3,000","$3,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,3/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"($1,000.00)",Explore Tableau for Finance Analytics,$0,"($1,000)","($1,000)",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,3/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,15,Expense,30000,Insurance & Regulations,38000,Insurance & Regulations,38000,38000,Expense,3,"$2,000.00",Explore Tableau for Finance Analytics,$0,"$2,000","$2,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,3/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$236,000.00",Explore Tableau for Finance Analytics,$0,"$236,000","$236,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,4/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,10,Expense,30000,Office & Supplies,33000,Office & Supplies,33000,33000,Expense,3,"$51,000.00",Explore Tableau for Finance Analytics,$0,"$51,000","$51,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,4/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,11,Expense,30000,"Computer, Equip & Operations",34000,"Computer, Equip & Operations",34000,34000,Expense,3,"$9,000.00",Explore Tableau for Finance Analytics,$0,"$9,000","$9,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,4/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,12,Expense,30000,Travel & Entertainment,35000,Travel & Entertainment,35000,35000,Expense,3,"$645,000.00",Explore Tableau for Finance Analytics,$0,"$645,000","$645,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,4/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$4,000.00",Explore Tableau for Finance Analytics,$0,"$4,000","$4,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,4/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$1,000.00",Explore Tableau for Finance Analytics,$0,"$1,000","$1,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,4/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,15,Expense,30000,Insurance & Regulations,38000,Insurance & Regulations,38000,38000,Expense,3,"$2,000.00",Explore Tableau for Finance Analytics,$0,"$2,000","$2,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,4/30/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$166,000.00",Explore Tableau for Finance Analytics,$0,"$166,000","$166,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,5/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,10,Expense,30000,Office & Supplies,33000,Office & Supplies,33000,33000,Expense,3,"$64,000.00",Explore Tableau for Finance Analytics,$0,"$64,000","$64,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,5/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,11,Expense,30000,"Computer, Equip & Operations",34000,"Computer, Equip & Operations",34000,34000,Expense,3,"$8,000.00",Explore Tableau for Finance Analytics,$0,"$8,000","$8,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,5/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,12,Expense,30000,Travel & Entertainment,35000,Travel & Entertainment,35000,35000,Expense,3,"$986,000.00",Explore Tableau for Finance Analytics,$0,"$986,000","$986,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,5/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$3,000.00",Explore Tableau for Finance Analytics,$0,"$3,000","$3,000",100.0%,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,5/31/2018,Forecast,Export,2018_V0 (Plan)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,$0.00,Explore Tableau for Finance Analytics,$0,$0,$0,,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Budget.xlsx,5/31/2018,Forecast,Export,2018_V0 (Plan)
